epoch,est_act,lr-AdamW,step,test_accuracy,test_classifier_loss,test_error,test_f1,test_loss,test_precision,test_recall,total_act,total_macs,total_weights,train_accuracy,train_classifier_loss,train_error,train_f1,train_loss,train_precision,train_recall,val_accuracy,val_classifier_loss,val_error,val_f1,val_loss,val_precision,val_recall
,,4.000067211051936e-05,49,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,,,,,,,,,,0.515625,1.371256947517395,0.484375,0.23781564831733704,1.371256947517395,0.5039370059967041,0.3395061790943146,,,,,,,
,,4.0002743586198394e-05,99,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.5546875,1.1277941465377808,0.4453125,0.1783919632434845,1.1277941465377808,0.138671875,0.25,,,,,,,
,,4.00062147009264e-05,149,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,,,,,,,,,,0.546875,0.9677120447158813,0.453125,0.17676767706871033,0.9677120447158813,0.13671875,0.25,,,,,,,
,,4.00110854445817e-05,199,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.5859375,0.8436679840087891,0.4140625,0.2812615931034088,0.8436679840087891,0.3412042558193207,0.3408333361148834,,,,,,,
,,4.001735580296147e-05,249,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,,,,,,,,,,0.6484375,0.854019284248352,0.3515625,0.39960917830467224,0.854019284248352,0.4052380919456482,0.41254952549934387,,,,,,,
,,4.002502575778204e-05,299,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.5625,0.9091092944145203,0.4375,0.360944926738739,0.9091092944145203,0.343926340341568,0.39052286744117737,,,,,,,
,,4.003409528667806e-05,349,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,,,,,,,,,,0.6796875,0.8107045888900757,0.3203125,0.44737714529037476,0.8107045888900757,0.45233145356178284,0.4571050703525543,,,,,,,
,,4.004456436320356e-05,399,,,,,,,,,,,,,,,,,,,,,,,,
0,,,399,,,,,,,,,,,0.6796875,0.7710946798324585,0.3203125,0.46166664361953735,0.7710946798324585,0.45608752965927124,0.48098695278167725,,,,,,,
,,4.005643295683153e-05,449,,,,,,,,,,,,,,,,,,,,,,,,
0,,,449,,,,,,,,,,,0.7109375,0.7027226090431213,0.2890625,0.46417665481567383,0.7027226090431213,0.45828717947006226,0.47123128175735474,,,,,,,
,,4.006970103295369e-05,499,,,,,,,,,,,,,,,,,,,,,,,,
0,,,499,,,,,,,,,,,0.6015625,0.8016259074211121,0.3984375,0.3477630019187927,0.8016259074211121,0.41988033056259155,0.3370448350906372,,,,,,,
,,4.008436855288148e-05,549,,,,,,,,,,,,,,,,,,,,,,,,
0,,,549,,,,,,,,,,,0.640625,0.7821829319000244,0.359375,0.5307765007019043,0.7821829319000244,0.6469717025756836,0.5074203610420227,,,,,,,
,,4.0100435473845297e-05,599,,,,,,,,,,,,,,,,,,,,,,,,
0,,,599,,,,,,,,,,,0.6171875,0.7894982099533081,0.3828125,0.2990565896034241,0.7894982099533081,0.29558825492858887,0.30532094836235046,,,,,,,
,,4.011790174899513e-05,649,,,,,,,,,,,,,,,,,,,,,,,,
0,,,649,,,,,,,,,,,0.703125,0.7009630799293518,0.296875,0.5449367165565491,0.7009630799293518,0.6319767236709595,0.5225926041603088,,,,,,,
,,4.013676732740059e-05,699,,,,,,,,,,,,,,,,,,,,,,,,
0,,,699,,,,,,,,,,,0.609375,0.7541508674621582,0.390625,0.4752421975135803,0.7541508674621582,0.5691264867782593,0.45984163880348206,,,,,,,
,,4.015703215405077e-05,749,,,,,,,,,,,,,,,,,,,,,,,,
0,,,749,,,,,,,,,,,0.7109375,0.7803856134414673,0.2890625,0.4872325658798218,0.7803856134414673,0.4663304090499878,0.5103464126586914,,,,,,,
,,4.017869616985514e-05,799,,,,,,,,,,,,,,,,,,,,,,,,
0,,,799,,,,,,,,,,,0.6640625,0.7200732231140137,0.3359375,0.5981828570365906,0.7200732231140137,0.7606617212295532,0.5526076555252075,,,,,,,
,,4.020175931164266e-05,849,,,,,,,,,,,,,,,,,,,,,,,,
0,,,849,,,,,,,,,,,0.6484375,0.8107784390449524,0.3515625,0.5250687599182129,0.8107784390449524,0.7707107663154602,0.5154406428337097,,,,,,,
,,4.0226221512162756e-05,899,,,,,,,,,,,,,,,,,,,,,,,,
0,,,899,,,,,,,,,,,0.625,0.7430496215820312,0.375,0.46471306681632996,0.7430496215820312,0.5267974138259888,0.4666918218135834,,,,,,,
,,4.0252082700085556e-05,949,,,,,,,,,,,,,,,,,,,,,,,,
0,,,949,,,,,,,,,,,0.625,0.7911022305488586,0.375,0.4743185341358185,0.7911022305488586,0.7502738237380981,0.47610118985176086,,,,,,,
,,4.027934280000144e-05,999,,,,,,,,,,,,,,,,,,,,,,,,
0,,,999,,,,,,,,,,,0.7265625,0.6554199457168579,0.2734375,0.677844762802124,0.6554199457168579,0.8186274766921997,0.6246498823165894,,,,,,,
,,4.030800173242179e-05,1049,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1049,,,,,,,,,,,0.6875,0.7419905662536621,0.3125,0.6003341674804688,0.7419905662536621,0.6970029473304749,0.5685845613479614,,,,,,,
,,4.033805941377935e-05,1099,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1099,,,,,,,,,,,0.6484375,0.7509312629699707,0.3515625,0.5808584094047546,0.7509312629699707,0.6608573198318481,0.5537340641021729,,,,,,,
,,4.036951575642775e-05,1149,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1149,,,,,,,,,,,0.6796875,0.7200623750686646,0.3203125,0.55711829662323,0.7200623750686646,0.665627121925354,0.5334541201591492,,,,,,,
,,4.040237066864252e-05,1199,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1199,,,,,,,,,,,0.7109375,0.7276690006256104,0.2890625,0.5858585834503174,0.7276690006256104,0.708381712436676,0.5648148059844971,,,,,,,
,,4.043662405462105e-05,1249,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1249,,,,,,,,,,,0.6875,0.7598787546157837,0.3125,0.5237277150154114,0.7598787546157837,0.6225122809410095,0.5206512808799744,,,,,,,
,,4.0472275814482854e-05,1299,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1299,,,,,,,,,,,0.6875,0.7484760284423828,0.3125,0.608461320400238,0.7484760284423828,0.7642276287078857,0.5747205018997192,,,,,,,
,,4.050932584426963e-05,1349,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1349,,,,,,,,,,,0.6796875,0.7519811987876892,0.3203125,0.4578947424888611,0.7519811987876892,0.4534979462623596,0.4656337797641754,,,,,,,
,,4.0547774035946276e-05,1399,,,,,,,,,,,,,,,,,,,,,,,,
